GPU_Name,RAM_Size,Memory_Bandwidth,Processing_Power,Price
Titan-XP,12,547.7,5.6832,1440.0
GTX-1080-Ti,11,484.0,5.669888,840.0
GTX-1080,8,320.0,4.43648,660.0
GTX-1070-Ti,8,256.0,4.093056,540.0
GTX-1070,8,256.0,3.23136,480.0
GTX-1060,6,216.0,2.18624,360.0
GTX-1050-Ti,4,112.0,1.483776,192.0
